,소재지,lat,lon
0,강남구,37.514575,127.049555555555
1,강동구,37.5273666666666,127.125863888888
2,강북구,37.6369555555555,127.027719444444
3,강서구,37.5481555555555,126.851675
4,관악구,37.4753861111111,126.953844444444
5,광진구,37.5357388888888,127.084533333333
6,구로구,37.49265,126.889597222222
7,금천구,37.4491083333333,126.904197222222
8,노원구,37.6514611111111,127.058388888888
9,도봉구,37.6658333333333,127.049522222222
10,동대문구,37.571625,127.042141666666
11,동작구,37.5096555555555,126.941575
12,마포구,37.5607055555555,126.910530555555
13,서대문구,37.5763666666666,126.938897222222
14,서초구,37.4807861111111,127.034811111111
15,성동구,37.5606111111111,127.039
16,성북구,37.5863833333333,127.020333333333
17,송파구,37.5117555555555,127.107930555555
18,양천구,37.5142305555555,126.868708333333
19,영등포구,37.5236111111111,126.898341666666
20,용산구,37.5360944444444,126.967522222222
21,은평구,37.5999694444444,126.931241666666
22,종로구,37.5703777777777,126.981641666666
23,중구,37.5610027777777,126.999641666666
24,중랑구,37.6038055555555,127.094777777777
